City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
242,Namikupa,TZ,-10.8333,39.6,70.75,97,63,4.41,moderate rain
243,Colares,PT,38.7992,-9.4469,55.33,69,100,1.01,overcast clouds
244,Ambovombe,MG,-25.1667,46.0833,75.24,89,23,18.37,few clouds
245,Bisert,RU,56.8617,59.0523,25.45,95,100,3.24,overcast clouds
246,Preobrazheniye,RU,42.9019,133.9064,7.05,65,45,8.72,scattered clouds
247,Arrifes,PT,37.7667,-25.7,59.23,72,20,8.05,few clouds
248,Sinor,IN,21.9167,73.3333,60.91,25,3,2.93,clear sky
249,Yerbogachen,RU,61.2767,108.0108,-22.04,100,98,3.0,overcast clouds
250,Kragero,NO,58.8693,9.4149,33.46,71,1,19.15,clear sky
251,Klaksvik,FO,62.2266,-6.589,36.52,54,94,36.33,overcast clouds
252,Kashi,CN,39.4547,75.9797,24.01,54,20,6.71,few clouds
253,Sambava,MG,-14.2667,50.1667,77.45,83,100,3.96,overcast clouds
254,Raikot,IN,30.65,75.6,43.63,92,0,3.38,clear sky
255,Cockburn Town,TC,21.4612,-71.1419,75.94,74,0,15.46,clear sky
256,Coahuayana,MX,18.7333,-103.6833,90.88,38,0,6.15,clear sky
257,Moratuwa,LK,6.773,79.8816,77.02,80,14,4.18,few clouds
258,Kailua,US,21.4022,-157.7394,81.14,63,0,8.05,clear sky
259,La Peca,PE,-5.6111,-78.435,83.71,51,52,5.77,broken clouds
260,Abu Dhabi,AE,24.4667,54.3667,66.96,86,6,4.61,clear sky
261,San Miguel Ixtahuacan,GT,15.25,-91.75,66.54,53,32,8.77,scattered clouds
262,San Fernando,PH,15.0286,120.6898,77.14,79,29,5.64,scattered clouds
263,Lompoc,US,34.6391,-120.4579,71.69,34,0,9.22,clear sky
264,Qasigiannguit,GL,68.8193,-51.1922,12.45,84,100,9.48,overcast clouds
265,Havoysund,NO,70.9963,24.6622,16.68,87,100,35.41,light snow
266,Carbonia,IT,39.1672,8.5222,52.45,92,8,7.38,clear sky
267,Road Town,VG,18.4167,-64.6167,73.49,88,20,13.8,few clouds
268,Lensk,RU,60.7253,114.9278,6.58,92,99,8.66,overcast clouds
269,Constitucion,CL,-35.3333,-72.4167,66.11,73,19,17.67,few clouds
270,Uglovka,RU,58.2392,33.5108,1.54,100,100,6.15,overcast clouds
271,Wah,PK,33.798,72.6957,47.01,63,0,3.69,clear sky
272,Grafton,US,42.207,-71.6856,28.67,94,100,11.5,light snow
273,Vikulovo,RU,56.8167,70.6107,19.78,87,100,9.66,overcast clouds
274,Gamboma,CG,-1.8764,15.8644,76.05,76,100,3.44,overcast clouds
275,Blagoyevo,RU,63.3667,47.9167,-8.34,100,86,2.01,overcast clouds
276,Mabaruma,GY,8.2,-59.7833,76.39,78,9,5.26,clear sky
277,Moron,AR,-34.6534,-58.6198,77.97,82,100,0.58,overcast clouds
278,Balakhta,RU,55.38,91.6,2.73,93,100,0.76,overcast clouds
279,Ampanihy,MG,-24.7,44.75,72.23,89,42,11.88,scattered clouds
280,Magdagachi,RU,53.45,125.8,1.18,75,100,5.79,overcast clouds
281,Meulaboh,ID,4.1363,96.1285,75.47,87,100,4.21,overcast clouds
282,Victoria,HK,22.2855,114.1577,58.24,80,98,3.0,overcast clouds
283,Weinan,CN,34.5036,109.5089,35.29,44,80,4.65,broken clouds
284,Berlevag,NO,70.8578,29.0864,21.83,82,100,31.0,overcast clouds
285,Santa Rosa,PH,14.3122,121.1114,77.11,78,89,12.5,overcast clouds
286,Kahului,US,20.8947,-156.47,85.26,67,20,11.5,few clouds
287,Coihueco,CL,-36.6167,-71.8333,81.34,30,11,11.5,few clouds
288,Pacific Grove,US,36.6177,-121.9166,69.48,41,0,5.01,clear sky
289,Mercedes,AR,-34.6515,-59.4307,76.17,81,100,8.3,overcast clouds
290,Inhambane,MZ,-23.865,35.3833,79.21,62,66,13.67,broken clouds
291,Winslow,US,35.0242,-110.6974,42.96,17,0,1.01,clear sky
292,Talcahuano,CL,-36.7167,-73.1167,64.56,70,1,20.33,clear sky
293,Bonthe,SL,7.5264,-12.505,77.41,83,47,7.2,scattered clouds
294,Sao Filipe,CV,14.8961,-24.4956,73.53,73,0,8.88,clear sky
295,Bure,ET,10.7,37.0667,63.32,39,86,6.35,overcast clouds
296,Taoudenni,ML,22.6783,-3.9836,68.83,11,77,10.07,broken clouds
297,Tual,ID,-5.6667,132.75,83.73,76,100,16.35,overcast clouds
298,Tura,IN,25.5198,90.2201,51.21,97,71,3.71,broken clouds
299,Nanortalik,GL,60.1432,-45.2371,10.94,73,100,41.05,overcast clouds
300,Adrar,MR,20.5022,-10.0711,67.68,10,33,9.22,scattered clouds
301,Usvyaty,RU,55.7456,30.7533,5.61,100,99,5.61,overcast clouds
302,The Valley,AI,18.217,-63.0578,73.26,94,20,9.22,few clouds
303,Jalingo,NG,8.8833,11.3667,74.05,22,0,4.68,clear sky
304,Ko Samui,TH,9.5357,99.9357,82.06,70,19,16.37,light rain
305,Fortuna,US,40.5982,-124.1573,61.41,78,0,1.99,clear sky
306,San Ramon,US,37.7799,-121.978,66.4,46,0,1.01,clear sky
307,Mount Gambier,AU,-37.8333,140.7667,61.34,69,99,9.8,overcast clouds
308,Suntar,RU,62.1444,117.6319,-10.73,99,98,1.19,overcast clouds
309,Esperance,AU,-33.8667,121.9,62.44,77,1,14.0,clear sky
310,Mandalgovi,MN,45.7625,106.2708,3.43,79,11,8.23,few clouds
311,Inndyr,NO,67.0338,14.0276,23.04,74,39,17.16,scattered clouds
312,Mogadishu,SO,2.0371,45.3438,76.46,86,35,17.94,scattered clouds
313,Nizwa,OM,22.9333,57.5333,66.38,34,9,0.74,clear sky
314,Seoul,KR,37.5683,126.9778,18.84,49,0,5.75,clear sky
315,Alice Springs,AU,-23.7,133.8833,60.35,88,2,0.0,clear sky
316,Broome,US,42.2506,-75.833,20.62,75,40,1.99,scattered clouds
317,Hollola,FI,61.05,25.4333,20.01,93,100,14.88,light snow
318,Matara,LK,5.9485,80.5353,73.18,89,50,5.84,scattered clouds
319,Walvis Bay,NA,-22.9575,14.5053,67.15,82,60,4.61,broken clouds
320,Bubaque,GW,11.2833,-15.8333,78.17,74,4,13.98,clear sky
321,Georgetown,MY,5.4112,100.3354,78.89,92,40,2.3,scattered clouds
322,Chifeng,CN,42.2683,118.9636,4.69,60,0,8.43,clear sky
323,Bria,CF,6.5423,21.9863,77.07,22,100,2.93,overcast clouds
324,Mangrol,IN,21.1167,70.1167,64.31,61,2,2.01,clear sky
325,Diamantino,BR,-14.4086,-56.4461,78.87,81,75,3.71,broken clouds
326,Mildura,AU,-34.2,142.15,72.07,46,89,9.22,overcast clouds
327,Urusha,RU,54.05,122.9,-0.51,84,100,4.34,overcast clouds
328,Dir,PK,35.2058,71.8756,30.94,36,0,8.55,clear sky
329,Ammon,US,43.4696,-111.9666,20.95,77,100,3.0,overcast clouds
330,Shwebo,MM,22.5667,95.7,59.83,56,0,4.0,clear sky
331,Huntsville,US,34.7304,-86.5861,33.93,88,100,7.0,overcast clouds
332,Gautier,US,30.3858,-88.6117,41.09,91,100,13.47,light rain
333,Shubarkuduk,KZ,49.1447,56.4872,27.82,83,100,18.14,overcast clouds
334,San Cristobal,VE,7.7669,-72.225,77.18,79,84,2.82,broken clouds
335,Visnes,NO,59.3556,5.2242,38.21,87,75,17.27,broken clouds
336,Aksha,RU,50.2814,113.2867,2.46,84,19,8.7,few clouds
337,Northam,GB,51.0333,-4.2167,44.62,74,56,17.52,broken clouds
338,Nelson Bay,AU,-32.7167,152.15,73.0,73,85,3.0,overcast clouds
339,Maheshwar,IN,22.1833,75.5833,60.85,28,1,1.14,clear sky
340,Ngawi,ID,-7.4038,111.4461,74.05,90,72,1.86,broken clouds
341,Cabo San Lucas,MX,22.8909,-109.9124,74.61,55,0,4.0,clear sky
342,Tasiilaq,GL,65.6145,-37.6368,24.96,68,100,38.79,overcast clouds
343,Abashiri,JP,44.0213,144.2697,12.94,88,24,7.31,few clouds
344,Los Amates,GT,15.2667,-89.1,94.19,59,64,3.91,broken clouds
345,Tuatapere,NZ,-46.1333,167.6833,56.82,64,98,2.48,overcast clouds
346,Haimen,CN,23.1935,116.6142,49.89,78,100,10.87,overcast clouds
