City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
136,Piotrkow Trybunalski,PL,40.75,overcast clouds,51.4055,19.7032,Best Western Hotel Trybunalski
137,Petropavlovsk-Kamchatskiy,RU,23.59,broken clouds,53.0452,158.6483,The Hotel Petropavlovsky
138,Sarh,TD,76.37,few clouds,9.1429,18.3923,Domicile 1sur le goudron
139,Parrita,CR,92.97,few clouds,9.5201,-84.3225,Beso del Viento
141,Antsohihy,MG,72.27,moderate rain,-14.8796,47.9875,Hotel de Ville
142,Atambua,ID,73.42,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
144,Jizan,SA,77.94,clear sky,17.3333,42.6667,شهدان. ابوالحجر
148,Pointe Michel,DM,77.29,clear sky,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
153,Faanui,PF,80.62,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
154,Touros,BR,81.5,few clouds,-5.1989,-35.4608,INN NEW HORIZON
156,Nabire,ID,76.75,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
158,Grand Gaube,MU,79.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
160,Ahipara,NZ,76.19,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
161,Felanitx,ES,55.96,overcast clouds,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
162,Torbay,CA,32.76,mist,47.6666,-52.7314,Gallows Cove
163,Metro,ID,73.04,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
165,Matay,EG,55.89,overcast clouds,28.419,30.7792,Nag Aespen
166,Morant Bay,JM,82.02,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
168,Port Alfred,ZA,68.54,light rain,-33.5906,26.891,The Halyards Hotel
169,Eyrarbakki,IS,24.85,overcast clouds,63.863,-21.1481,Guesthouse 77
170,Prince Rupert,CA,41.09,moderate rain,54.3161,-130.3201,Crest Hotel
171,Tucuman,AR,66.2,overcast clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
172,Comodoro Rivadavia,AR,60.66,few clouds,-45.8667,-67.5,Austral Hotel
173,Marsh Harbour,BS,74.57,broken clouds,26.5412,-77.0636,Abaco Beach Resort
174,Kaoma,ZM,63.68,overcast clouds,-14.7833,24.8,KAOMA AIRPORT
176,Arlit,NE,59.4,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
177,Cidreira,BR,72.09,overcast clouds,-30.1811,-50.2056,Hotel Castelo
178,Kaitangata,NZ,58.93,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
179,Puerto Escondido,MX,85.03,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
180,Souillac,MU,79.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
181,Praya,CV,72.14,clear sky,14.9215,-23.5087,LT Aparthotel
184,Mayo,US,40.33,light rain,38.8876,-76.5119,Resorts Resource Group International
185,East London,ZA,68.83,light rain,-33.0153,27.9116,Tu Casa
187,Rocha,UY,71.71,scattered clouds,-34.4833,-54.3333,Hotel Arrarte
188,Matamoros,MX,50.11,broken clouds,25.5333,-103.25,Quinta Belem
189,Bejar,ES,44.58,overcast clouds,40.3864,-5.7634,Posada Puerta Grande
190,Kloulklubed,PW,81.59,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
